Game Completed Date,User ID,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region,Game Code
2020-12-08 23:00:27,1,Crewmate,Loss,6.0,No,No,,860,No,0.0,,---,Europe , VTTXQQ
2020-12-08 22:41:22,1,Crewmate,Loss,8.0,Yes,No,,782,No,0.0,08m 50s,--,Europe , VTTXQQ
2020-12-08 22:24:19,1,Crewmate,Loss,7.0,No,No,,313,No,0.0,,---,Europe , VTTXQQ
2020-12-08 22:15:06,1,Crewmate,Win,7.0,No,Yes,,405,No,0.0,,++,Europe , VTTXQQ
2020-12-08 22:03:02,1,Imposter,Win,,,,2.0,756,No,,,+++,Europe , VTTXQQ
2020-12-08 21:47:41,1,Imposter,Loss,,,,1.0,88,Yes,,,,Europe , RLNKUF
2020-12-08 21:40:37,1,Crewmate,Loss,6.0,No,Yes,,314,No,1.0,,---,Europe , RLNKUF
2020-12-08 21:31:19,1,Crewmate,Win,8.0,Yes,No,,466,No,0.0,07m 46s,++,Europe , RLNKUF
2020-12-08 01:10:04,1,Crewmate,Loss,7.0,Yes,Yes,,1178,No,1.0,11m 00s,--,NA , FATWCF
2020-12-08 00:45:49,1,Crewmate,Loss,7.0,Yes,Yes,,739,No,1.0,09m 01s,--,NA , FATWCF
2020-12-08 00:30:22,1,Imposter,Win,,,,3.0,535,No,,,+++,NA , FATWCF
2020-12-08 00:16:47,1,Crewmate,Win,8.0,Yes,Yes,,1106,No,1.0,14m 32s,++,NA , BRFSZF
2020-12-07 23:56:42,1,Crewmate,Loss,8.0,Yes,Yes,,1022,No,0.0,09m 26s,--,NA , BRFSZF
2020-12-07 23:37:49,1,Crewmate,Win,5.0,No,No,,347,No,0.0,,++,NA , BRFSZF
2020-12-07 23:24:17,1,Imposter,Win,,,,5.0,340,No,,,+++,NA , IKPWHF
2020-12-07 23:12:09,1,Crewmate,Win,7.0,Yes,No,,632,No,0.0,05m 15s,++,NA , IKPWHF
2020-12-07 22:43:52,1,Crewmate,Win,5.0,No,No,,648,No,1.0,,++,NA , IKPWHF
2020-12-07 22:32:47,1,Crewmate,Loss,7.0,Yes,Yes,,764,No,0.0,12m 43s,--,NA , IKPWHF
2020-12-07 22:18:22,1,Imposter,Win,,,,2.0,466,No,,,+++,NA , IKPWHF
2020-12-07 22:01:00,1,Imposter,Win,,,,0.0,0,No,,,,NA , RTAXDF
2020-12-07 21:57:06,1,Crewmate,Loss,1.0,No,Yes,,110,No,0.0,,,NA , RTAXDF
2020-12-07 21:41:52,1,Crewmate,Loss,7.0,No,Yes,,534,No,0.0,,---,NA , ITURDF
2020-12-07 21:24:08,1,Crewmate,Win,8.0,Yes,Yes,,1453,No,1.0,13m 26s,++,NA , ITURDF
2020-12-07 20:58:39,1,Imposter,Loss,,,,2.0,634,Yes,,,-,NA , ITURDF
2020-12-07 02:07:10,1,Crewmate,Win,3.0,No,Yes,,947,No,0.0,,++,NA , HUTXKF
2020-12-07 01:33:51,1,Crewmate,Win,7.0,Yes,Yes,,735,No,0.0,05m 28s,++,NA , HUTXKF
2020-12-07 00:57:20,1,Crewmate,Win,7.0,Yes,No,,1018,No,0.0,14m 00s,++,NA , HUTXKF
2020-12-06 21:52:44,1,Crewmate,Win,8.0,Yes,Yes,,1040,No,0.0,04m 59s,++,NA , JKQLUF
2020-12-06 21:31:27,1,Imposter,Loss,,,,1.0,691,No,,,--,NA , JKQLUF
2020-12-06 21:19:28,1,Crewmate,Win,4.0,No,No,,688,No,1.0,,++,NA , JKQLUF
2020-12-06 21:06:56,1,Crewmate,Loss,4.0,No,Yes,,753,No,0.0,,---,NA , JKQLUF
2020-12-06 16:34:13,1,Crewmate,Win,8.0,Yes,Yes,,1262,No,0.0,14m 07s,++,Europe , DSYWJF
2020-12-06 16:12:28,1,Crewmate,Loss,7.0,No,Yes,,520,No,0.0,,---,Europe , DSYWJF
2020-12-06 15:59:02,1,Crewmate,Win,4.0,No,No,,470,No,1.0,,++,Europe , DSYWJF
2020-12-06 15:48:06,1,Crewmate,Win,8.0,Yes,No,,737,No,0.0,08m 17s,++,Europe , DSYWJF
2020-12-06 15:30:51,1,Crewmate,Loss,7.0,No,No,,623,No,1.0,,---,Europe , DSYWJF
2020-12-06 15:14:08,1,Imposter,Win,,,,2.0,719,No,,,+++,Europe , HRGJOF
2020-12-06 14:57:33,1,Imposter,Win,,,,2.0,49,No,,,,Europe , HRGJOF
2020-12-06 14:55:28,1,Imposter,Win,,,,3.0,527,No,,,+++,Europe , HRGJOF
2020-12-06 14:44:31,1,Crewmate,Loss,6.0,No,Yes,,763,No,0.0,,---,Europe , HRGJOF
2020-12-06 14:21:07,1,Crewmate,Loss,7.0,Yes,Yes,,1297,No,0.0,13m 10s,--,Europe , HRGJOF
2020-12-06 00:55:57,1,Crewmate,Loss,7.0,No,Yes,,700,No,1.0,,---,Europe , RUFQCF
2020-12-06 00:43:22,1,Crewmate,Win,8.0,Yes,Yes,,689,No,0.0,05m 01s,++,Europe , RUFQCF
2020-12-06 00:27:10,1,Crewmate,Win,8.0,Yes,No,,691,No,0.0,05m 45s,++,Europe , RUFQCF
2020-12-06 00:14:34,1,Crewmate,Win,8.0,Yes,No,,636,No,0.0,06m 55s,++,Europe , RUFQCF
2020-12-06 00:02:37,1,Crewmate,Loss,8.0,Yes,Yes,,672,No,0.0,07m 43s,--,Europe , RUFQCF
2020-12-05 23:45:54,1,Imposter,Win,,,,4.0,1283,No,,,+++,Europe , RUFQCF
2020-12-29 22:25:41,2,Crewmate,Loss,8.0,Yes,Yes,,1043,No,0.0,10m 58s,--,NA , SRKQNF
2020-12-29 22:07:12,2,Crewmate,Win,8.0,Yes,No,,1025,No,1.0,13m 35s,++,NA , SRKQNF
2020-12-29 21:47:27,2,Crewmate,Loss,3.0,No,No,,556,No,0.0,,---,NA , SRKQNF
2020-12-29 21:36:52,2,Crewmate,Win,8.0,Yes,No,,735,No,0.0,10m 02s,++,NA , SRKQNF
2020-12-29 21:20:03,2,Imposter,Win,,,,2.0,465,No,,,+++,NA , SRKQNF
2020-12-29 21:10:26,2,Crewmate,Loss,7.0,No,Yes,,1109,No,0.0,,---,NA , SRKQNF
2020-12-29 20:50:08,2,Crewmate,Win,8.0,Yes,No,,635,Yes,0.0,08m 00s,++,NA , SRKQNF
2020-12-29 20:36:29,2,Crewmate,Win,8.0,Yes,No,,836,No,1.0,08m 37s,++,NA , HUYDCF
